"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2019","    10881.70","    10923.60","    10807.10","    10910.10","      159404542","         8688.26"
"02-Jan-2019","    10868.85","    10895.35","    10735.05","    10792.50","      309665939","        15352.25"
"03-Jan-2019","    10796.80","    10814.05","    10661.25","    10672.25","      286241745","        15030.45"
"04-Jan-2019","    10699.70","    10741.05","    10628.65","    10727.35","      296596655","        14516.74"
"07-Jan-2019","    10804.85","    10835.95","    10750.15","    10771.80","      269371080","        12731.29"
"08-Jan-2019","    10786.25","    10818.45","    10733.25","    10802.15","      277697672","        13433.48"
"09-Jan-2019","    10862.40","    10870.40","    10749.40","    10855.15","      333010535","        16213.30"
"10-Jan-2019","    10859.35","    10859.35","    10801.80","    10821.60","      254365477","        12031.26"
"11-Jan-2019","    10834.75","    10850.15","    10739.40","    10794.95","      260792200","        13084.60"
"14-Jan-2019","    10807.00","    10808.00","    10692.35","    10737.60","      298774178","        12732.57"
"15-Jan-2019","    10777.55","    10896.95","    10777.55","    10886.80","      310737078","        14879.91"
"16-Jan-2019","    10899.65","    10928.15","    10876.90","    10890.30","      276539042","        13081.63"
"17-Jan-2019","    10920.85","    10930.65","    10844.65","    10905.20","      271676319","        13215.83"
"18-Jan-2019","    10914.85","    10928.20","    10852.20","    10906.95","      323814108","        16408.83"
"21-Jan-2019","    10919.35","    10987.45","    10885.75","    10961.85","      288829125","        17289.70"
"22-Jan-2019","    10949.80","    10949.80","    10864.15","    10922.75","      300768112","        17483.62"
"23-Jan-2019","    10931.05","    10944.80","    10811.95","    10831.50","      298876314","        14736.91"
"24-Jan-2019","    10844.05","    10866.60","    10798.65","    10849.80","      361082096","        15298.48"
"25-Jan-2019","    10859.75","    10931.70","    10756.45","    10780.55","      463444758","        20542.36"
"28-Jan-2019","    10792.45","    10804.45","    10630.95","    10661.55","      419682627","        21144.33"
"29-Jan-2019","    10653.70","    10690.35","    10583.65","    10652.20","      356908994","        18832.06"
"30-Jan-2019","    10702.25","    10710.20","    10612.85","    10651.80","      410107910","        21214.81"
"31-Jan-2019","    10690.55","    10838.05","    10678.55","    10830.95","      604818027","        27471.18"
"01-Feb-2019","    10851.35","    10983.45","    10813.45","    10893.65","      482272661","        23112.37"
"04-Feb-2019","    10876.75","    10927.90","    10814.15","    10912.25","      318300039","        15478.81"
"05-Feb-2019","    10908.65","    10956.70","    10886.70","    10934.35","      268095127","        13435.13"
"06-Feb-2019","    10965.10","    11072.60","    10962.70","    11062.45","      298510497","        15172.85"
"07-Feb-2019","    11070.45","    11118.10","    11043.60","    11069.40","      263544426","        13542.69"
"08-Feb-2019","    11023.50","    11041.20","    10925.45","    10943.60","      352787419","        15507.05"
"11-Feb-2019","    10930.90","    10930.90","    10857.10","    10888.80","      285985383","        13818.92"
"12-Feb-2019","    10879.70","    10910.90","    10823.80","    10831.40","      292314643","        14424.78"
"13-Feb-2019","    10870.55","    10891.65","    10772.10","    10793.65","      321958549","        15360.98"
"14-Feb-2019","    10786.10","    10792.70","    10718.75","    10746.05","      627041405","        20797.41"
"15-Feb-2019","    10780.25","    10785.75","    10620.40","    10724.40","      521876968","        20733.95"
"18-Feb-2019","    10738.65","    10759.90","    10628.40","    10640.95","      345440240","        14903.19"
"19-Feb-2019","    10636.70","    10722.85","    10585.65","    10604.35","      291507060","        13765.01"
"20-Feb-2019","    10655.45","    10752.70","    10646.40","    10735.45","      289195306","        13209.71"
"21-Feb-2019","    10744.10","    10808.85","    10721.50","    10789.85","      279584955","        14758.50"
"22-Feb-2019","    10782.70","    10801.55","    10758.40","    10791.65","      396846597","        24386.42"
"25-Feb-2019","    10813.25","    10887.10","    10788.05","    10880.10","      385905142","        16466.09"
"26-Feb-2019","    10775.30","    10888.75","    10729.30","    10835.30","      414954476","        19186.75"
"27-Feb-2019","    10881.20","    10939.70","    10751.20","    10806.65","      381080073","        18313.85"
"28-Feb-2019","    10865.70","    10865.70","    10784.85","    10792.50","      644159018","        27123.34"
"01-Mar-2019","    10842.65","    10877.90","    10823.10","    10863.50","      308526309","        15010.06"
"05-Mar-2019","    10864.85","    10994.90","    10817.00","    10987.45","      373220239","        17960.03"
"06-Mar-2019","    11024.85","    11062.30","    10998.85","    11053.00","      372550850","        17850.93"
"07-Mar-2019","    11077.95","    11089.05","    11027.10","    11058.20","      321208766","        15321.68"
"08-Mar-2019","    11038.85","    11049.00","    11008.95","    11035.40","      326569833","        14369.77"
"11-Mar-2019","    11068.75","    11180.90","    11059.85","    11168.05","      352242287","        17349.95"
"12-Mar-2019","    11231.35","    11320.40","    11227.00","    11301.20","      391310519","        20861.35"
"13-Mar-2019","    11326.20","    11352.30","    11276.60","    11341.70","      382996187","        20851.67"
"14-Mar-2019","    11382.50","    11383.45","    11313.75","    11343.25","      294480678","        15661.05"
"15-Mar-2019","    11376.85","    11487.00","    11370.80","    11426.85","      463704896","        25143.26"
"18-Mar-2019","    11473.85","    11530.15","    11412.50","    11462.20","      320250041","        16942.22"
"19-Mar-2019","    11500.30","    11543.85","    11451.25","    11532.40","      326099667","        16179.92"
"20-Mar-2019","    11553.35","    11556.10","    11503.10","    11521.05","      366298049","        18311.44"
"22-Mar-2019","    11549.20","    11572.80","    11434.55","    11456.90","      386193935","        19755.74"
"25-Mar-2019","    11395.65","    11395.65","    11311.60","    11354.25","      294459196","        14101.14"
"26-Mar-2019","    11375.20","    11496.75","    11352.45","    11483.25","      282575496","        14611.68"
"27-Mar-2019","    11531.45","    11546.20","    11413.00","    11445.05","      350446089","        18356.52"
"28-Mar-2019","    11463.65","    11588.50","    11452.45","    11570.00","      527678809","        25719.65"
"29-Mar-2019","    11625.45","    11630.35","    11570.15","    11623.90","      416276981","        20515.25"
"01-Apr-2019","    11665.20","    11738.10","    11644.75","    11669.15","      379572660","        18977.99"
"02-Apr-2019","    11711.55","    11729.35","    11655.85","    11713.20","      386131413","        18673.70"
"03-Apr-2019","    11735.30","    11761.00","    11629.15","    11643.95","      365760070","        19050.95"
"04-Apr-2019","    11660.20","    11662.55","    11559.20","    11598.00","      349029830","        19713.01"
"05-Apr-2019","    11638.40","    11689.65","    11609.50","    11665.95","      266665797","        15000.35"
"08-Apr-2019","    11704.35","    11710.30","    11549.10","    11604.50","      260932608","        14203.96"
