"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-1996","      913.11","      913.11","      906.15","      908.01","-","-"
"02-Jan-1996","      906.78","      906.78","      899.52","      900.38","-","-"
"03-Jan-1996","      901.66","      904.48","      895.48","      895.96","-","-"
"04-Jan-1996","      891.37","      891.37","      884.10","      889.67","-","-"
"05-Jan-1996","      887.79","      887.79","      881.74","      884.73","-","-"
"08-Jan-1996","      883.64","      883.64","      868.44","      869.70","-","-"
"09-Jan-1996","      864.84","      870.71","      856.77","      869.12","-","-"
"10-Jan-1996","      863.86","      869.01","      863.80","      863.80","-","-"
"11-Jan-1996","      862.62","      873.72","      861.97","      873.27","-","-"
"12-Jan-1996","      875.11","      877.60","      872.10","      875.15","-","-"
"15-Jan-1996","      878.74","      878.74","      870.98","      871.32","-","-"
"16-Jan-1996","      871.29","      871.29","      866.64","      868.52","-","-"
"17-Jan-1996","      866.00","      866.00","      857.11","      857.11","-","-"
"18-Jan-1996","      853.28","      853.28","      841.79","      848.83","-","-"
"19-Jan-1996","      846.66","      847.17","      840.18","      843.99","-","-"
"22-Jan-1996","      844.83","      847.12","      844.04","      844.31","-","-"
"23-Jan-1996","      846.05","      846.05","      830.83","      832.90","-","-"
"24-Jan-1996","      831.17","      831.17","      816.00","      818.69","-","-"
"25-Jan-1996","      819.56","      819.56","      814.34","      814.92","-","-"
"29-Jan-1996","      813.12","      832.23","      813.12","      830.88","-","-"
"30-Jan-1996","      836.14","      848.13","      836.14","      846.57","-","-"
"31-Jan-1996","      843.19","      852.75","      843.19","      848.42","-","-"
"01-Feb-1996","      848.28","      869.54","      848.28","      869.54","-","-"
"02-Feb-1996","      878.50","      919.82","      878.50","      918.31","-","-"
"05-Feb-1996","      933.14","      949.16","      927.65","      943.08","-","-"
"06-Feb-1996","      943.75","      947.89","      919.99","      925.71","-","-"
"07-Feb-1996","      918.97","      932.02","      913.22","      932.02","-","-"
"08-Feb-1996","      936.72","      983.25","      936.72","      980.27","-","-"
"09-Feb-1996","     1001.85","     1033.02","      980.27","     1033.02","-","-"
"12-Feb-1996","     1032.47","     1045.81","     1018.51","     1018.51","-","-"
"13-Feb-1996","     1019.69","     1030.30","     1006.28","     1027.36","-","-"
"14-Feb-1996","     1040.91","     1067.49","     1040.91","     1051.99","-","-"
"15-Feb-1996","     1048.14","     1053.19","     1042.36","     1046.24","-","-"
"16-Feb-1996","     1040.84","     1040.84","     1020.46","     1023.08","-","-"
"19-Feb-1996","     1027.20","     1028.26","     1019.93","     1021.38","-","-"
"20-Feb-1996","     1021.08","     1021.08","      999.93","     1000.13","-","-"
